2026-06-15 16:14:38 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.517s]
2026-06-15 16:14:38 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.270s]
2026-06-15 16:14:46 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.509s]
2026-06-15 16:14:46 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:14:54 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.590s]
2026-06-15 16:14:55 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.269s]
2026-06-15 16:15:02 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.501s]
2026-06-15 16:15:03 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.268s]
2026-06-15 16:15:10 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.481s]
2026-06-15 16:15:11 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.265s]
2026-06-15 16:15:18 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.516s]
2026-06-15 16:15:19 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.270s]
2026-06-15 16:15:26 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.483s]
2026-06-15 16:15:26 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:15:34 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.507s]
2026-06-15 16:15:34 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.269s]
2026-06-15 16:15:42 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.485s]
2026-06-15 16:15:42 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:15:50 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.555s]
2026-06-15 16:15:51 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.274s]
2026-06-15 16:15:59 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.555s]
2026-06-15 16:15:59 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:16:07 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.485s]
2026-06-15 16:16:07 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:16:15 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.517s]
2026-06-15 16:16:15 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:16:23 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.491s]
2026-06-15 16:16:23 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:16:31 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.484s]
2026-06-15 16:16:31 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.273s]
2026-06-15 16:16:39 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.555s]
2026-06-15 16:16:39 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:16:47 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.480s]
2026-06-15 16:16:48 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.274s]
2026-06-15 16:16:56 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.559s]
2026-06-15 16:16:56 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.271s]
2026-06-15 16:17:04 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.486s]
2026-06-15 16:17:04 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.272s]
2026-06-15 16:17:12 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.504s]
2026-06-15 16:17:13 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.184s]
2026-06-15 16:17:20 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.506s]
2026-06-15 16:17:20 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.268s]
2026-06-15 16:17:28 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.502s]
2026-06-15 16:17:28 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.266s]
2026-06-15 16:17:36 | INFO | elastic_transport.transport | PUT https://192.168.1.125:9200/_bulk?refresh=false [status:200 duration:0.508s]
2026-06-15 16:17:36 | INFO | elastic_transport.transport | POST https://192.168.1.125:9200/_search/scroll [status:200 duration:0.179s]
